"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","searchTerm"
"58","Two people, ~70 articles a day, most interesting business stories: https://t.co/eQQT8822Zi #news #business #agriculture #health #science",FALSE,0,NA,2015-12-03 11:44:31,FALSE,NA,"672380892778729472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","poandpo",0,FALSE,FALSE,NA,NA,"agriculture"
"59","RT @SCALE_2: Check our new #learning modules 4 #agribusiness experts! https://t.co/dcIDoC95T5 #agriculture #bopbiz #foodsecurity https://t.…",FALSE,0,NA,2015-12-03 11:41:59,FALSE,NA,"672380253264863232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoshuaKibet1",3,TRUE,FALSE,NA,NA,"agriculture"
"60","If you would prefer to see our posts over on Facebook, like our page here: https://t.co/xqEOMihJEB #agriculture #farming #rpa #bps",FALSE,0,NA,2015-12-03 11:40:03,FALSE,NA,"672379767895658496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cxcs1",0,FALSE,FALSE,NA,NA,"agriculture"
"61","RT @RichardMcLellan: #Agriculture in a changing #climate
Ping @GraemeCurrie3 @minkeymates @McMattNee @WANTFA_Carbon  @PICCCnews https://t.c…",FALSE,0,NA,2015-12-03 11:39:06,FALSE,NA,"672379526731534337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GusWhyte",4,TRUE,FALSE,NA,NA,"agriculture"
"62","Who's planning to go into a #careers in #agriculture industry?... huge show of hands from our students <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> https://t.co/OU9reBqKC3",FALSE,1,NA,2015-12-03 11:38:59,FALSE,NA,"672379497325453313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Reaseheath",3,FALSE,FALSE,NA,NA,"agriculture"
"63","RT @grazianodasilva: Minister, you have the merit of never giving up,even in the worst situations #LocustCrisis #Madagascar #agriculture ht…",FALSE,0,NA,2015-12-03 11:36:40,FALSE,NA,"672378916204625920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ycoumba",4,TRUE,FALSE,NA,NA,"agriculture"
"64","RT @drusawasthi: Congratulations! @mrpatel1954 @Yogendra_JGM for winning #FAI award for application of ICT in #agriculture https://t.co/9sh…",FALSE,0,NA,2015-12-03 11:35:34,FALSE,NA,"672378639401422848",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lalitk_98",8,TRUE,FALSE,NA,NA,"agriculture"
"65","RT @IFFCO_PR: Congratulations! @mrpatel1954 @Yogendra_JGM for winning #FAI award for application of ICT in #agriculture https://t.co/fP8jXv…",FALSE,0,NA,2015-12-03 11:35:02,FALSE,NA,"672378503577264128",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lalitk_98",5,TRUE,FALSE,NA,NA,"agriculture"
"66","RT @RwandaGov: PM Murekezi outlines government achievements in #agriculture https://t.co/EkWKpFg9Gx @RwandaAgri #Rwanda https://t.co/mRAS4c…",FALSE,0,NA,2015-12-03 11:34:33,FALSE,NA,"672378384995983360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MFelicien3",14,TRUE,FALSE,NA,NA,"agriculture"
"67","#3D #Art #Design @fotomek
TAEVision #MercedesBenz #OffRoad #IRON Project #automotive #agriculture
https://t.co/FA5louCkoC",FALSE,0,NA,2015-12-03 11:34:11,FALSE,NA,"672378292490608640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TAEVisionCEO",0,FALSE,FALSE,NA,NA,"agriculture"
"68","RT @WorldBank: The biggest impact #climatechange will have on the poor will be through #agriculture: https://t.co/VcNkAq5qiH #COP21 https:/…",FALSE,0,NA,2015-12-03 11:33:06,FALSE,NA,"672378020297052160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aandromeeda",103,TRUE,FALSE,NA,NA,"agriculture"
"69","RT @RwandaGov: PM Murekezi outlines government achievements in #agriculture https://t.co/EkWKpFg9Gx @RwandaAgri #Rwanda https://t.co/mRAS4c…",FALSE,0,NA,2015-12-03 11:31:46,FALSE,NA,"672377682315902976",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RwandaTimes",14,TRUE,FALSE,NA,NA,"agriculture"
"70","RT @SEEDSandCHIPS: #Agriculture 3.0 – #SiliconValley’s hotspot
#InternetOfFood #AgriTech #BigData #FoodData 
https://t.co/F9ZoHSnvxx https:…",FALSE,0,NA,2015-12-03 11:31:39,FALSE,NA,"672377654050471936",NA,"<a href=""https://gamedevbrain.wordpress.com/"" rel=""nofollow"">BigDataTweetBot</a>","BigDataTweetBot",3,TRUE,FALSE,NA,NA,"agriculture"
"71","RT @Foodable: In this article by @dorothy_lynn_h, learn how #urban #agriculture in #Detroit is activating the city’s vacant land. https://t…",FALSE,0,NA,2015-12-03 11:31:38,FALSE,NA,"672377649461747713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jennyinspired2",1,TRUE,FALSE,NA,NA,"agriculture"
"72","RT @RichardMcLellan: #Agriculture in a changing #climate
Ping @GraemeCurrie3 @minkeymates @McMattNee @WANTFA_Carbon  @PICCCnews https://t.c…",FALSE,0,NA,2015-12-03 11:31:10,FALSE,NA,"672377534256844800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NACC_NRM",4,TRUE,FALSE,NA,NA,"agriculture"
